route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100001,1,"1","","Kinnear - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/001/n0.html,,
100002,1,"10","","Capitol Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/010/n0.html,,
100003,1,"101","","Renton Transit Center - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/101/n0.html,,
100004,1,"105","","Renton Highlands - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/105/n0.html,,
100005,1,"106","","Renton Transit Center - Skyway - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/106/n0.html,,
100006,1,"107","","Renton Transit Center - Rainier Beach",3,http://metro.kingcounty.gov/schedules/107/n0.html,,
100009,1,"11","","Madison Park - Capitol Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/011/n0.html,,
100011,1,"111","","Lake Kathleen - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/111/n0.html,,
100012,1,"113","","Shorewood - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/113/n0.html,,
100013,1,"114","","Renton Highlands - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/114/n0.html,,
100016,1,"118","","Tahlequah - Vashon - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/118/n0.html,,
100017,1,"119","","Dockton - Vashon - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/119/n0.html,,
100018,1,"12","","Interlaken Park - First Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/012/n0.html,,
100020,1,"121","","Highline Coll-Marine Vw-BurienTC-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/121/n0.html,,
100023,1,"124","","Tukwila International Blvd Sta - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/124/n0.html,,
100024,1,"125","","Westwood Vill - S Seattle Coll - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/125/n0.html,,
100026,1,"128","","Southcenter - Alaska Junction - Admiral District",3,http://metro.kingcounty.gov/schedules/128/n0.html,,
100028,1,"13","","Seattle Pacific - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/013/n0.html,,
100030,1,"131","","Burien TC - Georgetown - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/131/n0.html,,
100031,1,"132","","Burien TC - South Park - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/132/n0.html,,
100039,1,"14","","Mt Baker - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/014/n0.html,,
100042,1,"148","","Fairwood - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/148/n0.html,,
100044,1,"15","","Blue Ridge - Crown Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/015/n0.html,,
100045,1,"150","","Kent Station - Southcenter - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/150/n0.html,,
100048,1,"153","","Kent Sounder Station - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/153/n0.html,,
100059,1,"167","","South Renton P&R - University District",3,http://metro.kingcounty.gov/schedules/167/n0.html,,
100060,1,"168","","Maple Valley - Kent Sounder Station",3,http://metro.kingcounty.gov/schedules/168/n0.html,,
100062,1,"17","","Loyal Heights-Sunset Hill-Ballard-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/017/n0.html,,
100068,1,"177","","Federal Way S 320th P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/177/n0.html,,
100071,1,"18","","North Beach - Ballard - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/018/n0.html,,
100072,1,"181","","Twin Lakes P&R - Auburn Station - Green River Coll",3,http://metro.kingcounty.gov/schedules/181/n0.html,,
100073,1,"182","","Northeast Tacoma - Federal Way TC",3,http://metro.kingcounty.gov/schedules/182/n0.html,,
100074,1,"183","","Federal Way TC - Star Lake - Kent Station",3,http://metro.kingcounty.gov/schedules/183/n0.html,,
100078,1,"187","","Federal Way - Twin Lakes",3,http://metro.kingcounty.gov/schedules/187/n0.html,,
